date,population<5,infected<5,population5-14,infected5-14,population15-24,infected15-24,population25-34,infected25-34,population35-44,infected35-44,population45-54,infected45-54,population55-64,infected55-64,population65-74,infected65-74,population75-84,infected75-84,population>84,infected>84,
2021/04/18,435835,6797,847225,42819,955625,84017,1209030,95124,1174745,88810,1333857,103081,1251120,78968,842035,38291,625267,31844,226325,20479,
2021/04/17,435835,6746,847225,42509,955625,83701,1209030,94771,1174745,88500,1333857,102767,1251120,78712,842035,38168,625267,31758,226325,20455,
2021/04/16,435835,6688,847225,42153,955625,83264,1209030,94365,1174745,88103,1333857,102384,1251120,78422,842035,38045,625267,31665,226325,20409,
2021/04/15,435835,6639,847225,41841,955625,82907,1209030,94006,1174745,87742,1333857,102011,1251120,78148,842035,37899,625267,31578,226325,20370,
2021/04/14,435835,6585,847225,41494,955625,82493,1209030,93577,1174745,87345,1333857,101628,1251120,77853,842035,37752,625267,31508,226325,20354,
2021/04/13,435835,6536,847225,41129,955625,82066,1209030,93144,1174745,86877,1333857,101134,1251120,77502,842035,37608,625267,31414,226325,20330,
2021/04/12,435835,6489,847225,40928,955625,81764,1209030,92816,1174745,86572,1333857,100763,1251120,77261,842035,37459,625267,31341,226325,20309,
2021/04/11,435835,6456,847225,40730,955625,81482,1209030,92528,1174745,86312,1333857,100439,1251120,77048,842035,37362,625267,31283,226325,20295,
2021/04/10,435835,6416,847225,40499,955625,81138,1209030,92162,1174745,85980,1333857,100134,1251120,76788,842035,37219,625267,31199,226325,20269,
2021/04/09,435835,6358,847225,40113,955625,80584,1209030,91495,1174745,85422,1333857,99586,1251120,76336,842035,37033,625267,31075,226325,20211,
2021/04/08,435835,6313,847225,39864,955625,80216,1209030,91085,1174745,85049,1333857,99189,1251120,75999,842035,36897,625267,30995,226325,20179,
2021/04/07,435835,6268,847225,39554,955625,79759,1209030,90564,1174745,84573,1333857,98661,1251120,75610,842035,36718,625267,30913,226325,20123,
2021/04/06,435835,6225,847225,39280,955625,79294,1209030,90077,1174745,84092,1333857,98159,1251120,75228,842035,36523,625267,30785,226325,20079,
2021/04/05,435835,6192,847225,39097,955625,78998,1209030,89732,1174745,83739,1333857,97820,1251120,74967,842035,36357,625267,30703,226325,20050,
2021/04/04,435835,6160,847225,38880,955625,78623,1209030,89367,1174745,83383,1333857,97425,1251120,74681,842035,36209,625267,30613,226325,20029,
2021/04/03,435835,6103,847225,38568,955625,78195,1209030,88913,1174745,82932,1333857,96950,1251120,74295,842035,36020,625267,30492,226325,19998,
2021/04/02,435835,6038,847225,38196,955625,77641,1209030,88291,1174745,82341,1333857,96338,1251120,73808,842035,35835,625267,30348,226325,19955,
2021/04/01,435835,5978,847225,37907,955625,77187,1209030,87795,1174745,81827,1333857,95836,1251120,73382,842035,35640,625267,30248,226325,19911,
2021/03/31,435835,5903,847225,37608,955625,76716,1209030,87306,1174745,81330,1333857,95342,1251120,72986,842035,35436,625267,30148,226325,19889,
2021/03/30,435835,5848,847225,37343,955625,76254,1209030,86790,1174745,80795,1333857,94803,1251120,72596,842035,35255,625267,30017,226325,19841,
2021/03/29,435835,5783,847225,37058,955625,75835,1209030,86363,1174745,80322,1333857,94324,1251120,72259,842035,35088,625267,29918,226325,19802,
2021/03/28,435835,5728,847225,36694,955625,75347,1209030,85873,1174745,79831,1333857,93766,1251120,71825,842035,34884,625267,29802,226325,19763,
2021/03/27,435835,5685,847225,36392,955625,74922,1209030,85435,1174745,79420,1333857,93328,1251120,71522,842035,34727,625267,29693,226325,19720,
2021/03/26,435835,5615,847225,35884,955625,74326,1209030,84801,1174745,78863,1333857,92707,1251120,71038,842035,34519,625267,29541,226325,19659,
2021/03/25,435835,5550,847225,35463,955625,73780,1209030,84217,1174745,78320,1333857,92105,1251120,70672,842035,34318,625267,29427,226325,19614,
2021/03/24,435835,5474,847225,35040,955625,73232,1209030,83656,1174745,77760,1333857,91563,1251120,70236,842035,34126,625267,29302,226325,19561,
2021/03/23,435835,5415,847225,34633,955625,72733,1209030,83146,1174745,77280,1333857,90997,1251120,69847,842035,33952,625267,29165,226325,19518,
2021/03/22,435835,5345,847225,34313,955625,72321,1209030,82757,1174745,76866,1333857,90536,1251120,69488,842035,33803,625267,29064,226325,19480,
2021/03/21,435835,5296,847225,34019,955625,71978,1209030,82415,1174745,76515,1333857,90175,1251120,69185,842035,33665,625267,28978,226325,19441,
2021/03/20,435835,5243,847225,33633,955625,71540,1209030,81996,1174745,76056,1333857,89707,1251120,68796,842035,33501,625267,28875,226325,19402,
2021/03/19,435835,5165,847225,33160,955625,70906,1209030,81390,1174745,75355,1333857,89085,1251120,68271,842035,33289,625267,28740,226325,19337,
2021/03/18,435835,5115,847225,32700,955625,70408,1209030,80887,1174745,74820,1333857,88546,1251120,67857,842035,33133,625267,28632,226325,19296,
2021/03/17,435835,5030,847225,32239,955625,69888,1209030,80335,1174745,74261,1333857,87986,1251120,67441,842035,32925,625267,28521,226325,19261,
2021/03/16,435835,4998,847225,31911,955625,69450,1209030,79899,1174745,73777,1333857,87509,1251120,67089,842035,32795,625267,28420,226325,19224,
2021/03/15,435835,4952,847225,31656,955625,69083,1209030,79478,1174745,73376,1333857,87105,1251120,66781,842035,32661,625267,28310,226325,19183,
2021/03/14,435835,4922,847225,31389,955625,68826,1209030,79196,1174745,73045,1333857,86797,1251120,66553,842035,32552,625267,28259,226325,19136,
2021/03/13,435835,4853,847225,31023,955625,68413,1209030,78815,1174745,72631,1333857,86346,1251120,66248,842035,32406,625267,28176,226325,19100,
2021/03/12,435835,4781,847225,30619,955625,67892,1209030,78287,1174745,72119,1333857,85788,1251120,65818,842035,32243,625267,28081,226325,19058,
2021/03/11,435835,4725,847225,30233,955625,67430,1209030,77761,1174745,71656,1333857,85307,1251120,65467,842035,32092,625267,27991,226325,19015,
2021/03/10,435835,4663,847225,29861,955625,66988,1209030,77296,1174745,71236,1333857,84872,1251120,65104,842035,31940,625267,27900,226325,18970,
2021/03/09,435835,4617,847225,29512,955625,66540,1209030,76847,1174745,70789,1333857,84395,1251120,64785,842035,31773,625267,27803,226325,18922,
2021/03/08,435835,4566,847225,29245,955625,66187,1209030,76494,1174745,70467,1333857,84023,1251120,64526,842035,31661,625267,27720,226325,18885,
2021/03/07,435835,4539,847225,28981,955625,65877,1209030,76201,1174745,70172,1333857,83718,1251120,64286,842035,31526,625267,27659,226325,18851,
2021/03/06,435835,4466,847225,28669,955625,65571,1209030,75839,1174745,69820,1333857,83361,1251120,63995,842035,31428,625267,27575,226325,18809,
2021/03/05,435835,4387,847225,28282,955625,65157,1209030,75435,1174745,69384,1333857,82883,1251120,63653,842035,31285,625267,27462,226325,18768,
2021/03/04,435835,4349,847225,27983,955625,64810,1209030,75066,1174745,69013,1333857,82515,1251120,63377,842035,31146,625267,27383,226325,18736,
2021/03/03,435835,4302,847225,27632,955625,64418,1209030,74657,1174745,68592,1333857,82073,1251120,63027,842035,31018,625267,27270,226325,18698,
2021/03/02,435835,4270,847225,27321,955625,64043,1209030,74251,1174745,68163,1333857,81667,1251120,62757,842035,30877,625267,27178,226325,18663,
2021/03/01,435835,4230,847225,27096,955625,63800,1209030,73949,1174745,67832,1333857,81361,1251120,62501,842035,30771,625267,27096,226325,18628,
2021/02/28,435835,4196,847225,26961,955625,63612,1209030,73757,1174745,67662,1333857,81175,1251120,62351,842035,30708,625267,27038,226325,18617,
2021/02/27,435835,4135,847225,26682,955625,63266,1209030,73429,1174745,67253,1333857,80816,1251120,62055,842035,30594,625267,26967,226325,18571,
2021/02/26,435835,4079,847225,26348,955625,62891,1209030,73019,1174745,66828,1333857,80430,1251120,61772,842035,30458,625267,26855,226325,18530,
2021/02/25,435835,4028,847225,26078,955625,62611,1209030,72712,1174745,66470,1333857,80073,1251120,61530,842035,30355,625267,26790,226325,18503,
2021/02/24,435835,3970,847225,25809,955625,62268,1209030,72330,1174745,66052,1333857,79685,1251120,61228,842035,30217,625267,26704,226325,18462,
2021/02/23,435835,3901,847225,25528,955625,61968,1209030,71987,1174745,65717,1333857,79331,1251120,60976,842035,30106,625267,26599,226325,18422,
2021/02/22,435835,3868,847225,25344,955625,61752,1209030,71720,1174745,65463,1333857,79051,1251120,60741,842035,29987,625267,26551,226325,18390,
