Datum,Faelle_gesamt,Tote_v1,Genesene,Hospitalisiert,Intensivstation,IBett_frei,HBett_frei
2022/01/04,1301513,13375,1235586,708,317,667,2651
2022/01/03,1291348,13371,1233125,707,321,702,2665
2022/01/02,1285335,13357,1230996,647,323,697,2701
2022/01/01,1281822,13348,1229120,672,322,694,2685
2021/12/31,1278782,13343,1227191,712,328,683,2670
2021/12/30,1275036,13333,1224544,755,343,675,2641
2021/12/29,1271193,13312,1222246,779,349,697,2671
2021/12/28,1267992,13298,1219676,799,361,673,2663
2021/12/27,1264621,13282,1216206,826,383,674,2680
2021/12/26,1262002,13266,1213588,819,384,693,2706
2021/12/25,1260262,13251,1210689,817,394,683,2701
2021/12/24,1258627,13239,1207521,885,400,640,2641
2021/12/23,1256503,13231,1203706,1010,426,632,2528
2021/12/22,1254238,13216,1199627,1084,451,650,2628
2021/12/21,1252070,13202,1195211,1183,470,644,2573
2021/12/20,1249241,13184,1189624,1273,483,650,2488
2021/12/19,1247292,13167,1184853,1283,475,656,2529
2021/12/18,1245396,13140,1180523,1294,480,639,2517
2021/12/17,1243399,13117,1175212,1440,505,624,2392
2021/12/16,1241047,13092,1169035,1516,533,590,2326
2021/12/15,1238344,13066,1162703,1655,556,604,2582
2021/12/14,1235412,13039,1155907,1776,557,615,2481
2021/12/13,1231283,13001,1147432,1872,580,606,2455
2021/12/12,1228343,12962,1139625,1866,561,622,2473
2021/12/11,1225076,12928,1132070,1883,567,597,2458
2021/12/10,1221802,12897,1122821,2049,588,578,2320
2021/12/09,1216974,12854,1112913,2169,620,569,2347
2021/12/08,1213844,12811,1102460,2236,632,543,2311
2021/12/07,1209521,12759,1091190,2377,658,534,2166
2021/12/06,1203430,12707,1077857,2465,664,539,2103
2021/12/05,1198995,12663,1066853,2402,654,552,2144
2021/12/04,1194719,12621,1056059,2424,652,542,2123
2021/12/03,1189400,12570,1044431,2530,642,541,2016
2021/12/02,1183125,12512,1031083,2547,640,541,1977
2021/12/01,1175866,12453,1018632,2651,651,535,1887
2021/11/30,1167098,12391,1005300,2769,646,542,1773
2021/11/29,1156133,12352,991217,2767,630,575,1786
2021/11/28,1148022,12286,978233,2624,623,588,1912
2021/11/27,1140028,12231,966255,2606,615,588,1924
2021/11/26,1130401,12184,952866,2658,612,588,1849
2021/11/25,1118343,12119,939421,2658,615,577,1828
2021/11/24,1106205,12061,926163,2639,596,618,1584
2021/11/23,1091733,12013,914002,2570,583,605,1400
2021/11/22,1077220,11960,901550,2561,572,628,1305
2021/11/21,1065239,11905,891164,2425,533,641,1411
2021/11/20,1053587,11851,881700,2347,525,637,1475
2021/11/19,1039466,11812,871907,2364,514,644,1448
2021/11/18,1025372,11762,863035,2329,508,598,1431
2021/11/17,1010465,11718,854589,2258,486,586,1473
2021/11/16,995435,11673,846557,2118,466,611,1505
2021/11/15,978961,11635,838983,2069,456,628,1498
2021/11/14,967977,11598,831949,1919,433,638,1639
2021/11/13,956762,11557,825767,1877,417,653,1644
2021/11/12,945321,11510,819265,1896,428,602,1570
2021/11/11,932668,11466,813584,1851,437,612,1614
2021/11/10,922073,11415,808303,1808,420,623,1535
2021/11/09,908841,11390,803139,1768,408,618,1560
2021/11/08,896876,11361,797653,1664,382,641,1636
2021/11/07,889108,11334,793148,1570,367,661,1713
2021/11/06,881084,11315,788882,1520,354,659,1771
2021/11/05,872951,11294,784890,1483,366,634,1776
2021/11/04,863239,11267,780915,1475,362,596,1499
2021/11/03,853454,11246,777405,1436,344,615,1435
2021/11/02,844483,11221,774062,1372,329,638,1436
2021/11/01,837905,11204,770186,1260,308,660,1517
2021/10/31,832619,11184,766925,1181,293,664,1595
2021/10/30,827820,11171,764152,1121,283,675,1645
2021/10/29,822188,11155,761329,1101,279,651,1555
2021/10/28,816207,11145,758426,1044,264,617,1496
2021/10/27,810268,11134,755838,1007,256,653,1528
2021/10/26,805954,11119,753365,941,253,655,1595
2021/10/25,801464,11102,750484,903,240,670,1645
2021/10/24,798017,11092,748274,832,226,673,1603
2021/10/23,795220,11077,746323,809,229,652,1611
2021/10/22,791685,11066,744242,795,220,654,1622
2021/10/21,787975,11058,742197,767,220,656,1628
2021/10/20,784492,11047,740363,745,218,664,1656
2021/10/19,780871,11037,738499,730,217,661,1663
2021/10/18,776889,11026,736191,697,220,661,1685
2021/10/17,774162,11020,734459,653,220,672,1729
2021/10/16,772163,11005,732672,658,218,660,1722
2021/10/15,770012,10989,730934,659,219,648,1702
2021/10/14,767631,10982,728968,656,217,659,1704
2021/10/13,765238,10972,727140,649,218,656,1709
2021/10/12,763126,10966,725470,662,218,653,1708
2021/10/11,760402,10954,723271,637,212,688,1738
2021/10/10,758809,10943,721599,601,221,673,1771
2021/10/09,757514,10935,719927,603,218,673,1770
2021/10/08,755933,10926,718033,624,221,658,1751
2021/10/07,754057,10921,715952,624,221,669,1754
2021/10/06,752207,10911,713868,634,221,655,1723
2021/10/05,750171,10904,712009,631,233,633,1736
2021/10/04,747491,10891,709598,619,222,667,1751
2021/10/03,746036,10884,707910,599,223,666,1776
2021/10/02,744663,10877,706388,611,221,646,1765
2021/10/01,743105,10865,704604,628,220,655,1748
2021/09/30,741296,10857,702753,630,222,656,1737
2021/09/29,739558,10851,700634,648,222,654,1726
2021/09/28,737633,10844,698649,648,239,650,1723
2021/09/27,735017,10831,696361,648,245,659,1725
2021/09/26,733430,10826,694721,636,225,667,1728
2021/09/25,732047,10817,692929,623,225,663,1747
2021/09/24,730663,10808,691024,642,225,659,1738
2021/09/23,728838,10800,689035,636,219,668,1747
2021/09/22,727025,10790,687167,643,218,664,1733
2021/09/21,725185,10779,685329,664,216,661,1732
2021/09/20,723079,10770,683033,664,220,671,1731
2021/09/19,721701,10759,681290,644,217,681,1741
2021/09/18,720365,10744,679639,652,213,662,1726
2021/09/17,718936,10737,677937,644,207,653,1732
2021/09/16,716908,10731,676269,621,202,655,1547
2021/09/15,714697,10724,674622,618,196,650,1543
2021/09/14,712380,10715,673140,604,201,673,1564
2021/09/13,709779,10702,671415,570,189,689,1589
2021/09/12,707932,10696,669974,528,182,697,1626
2021/09/11,706542,10694,668673,512,173,699,1544
2021/09/10,704708,10688,667166,497,181,685,1560
2021/09/09,702465,10679,665818,471,186,650,1576
2021/09/08,700129,10675,664473,468,188,650,1583
2021/09/07,697961,10668,663061,456,172,659,1572
2021/09/06,695659,10660,661863,413,171,682,1615
2021/09/05,693859,10657,660703,395,157,696,1633
2021/09/04,692470,10649,659615,395,154,685,1628
2021/09/03,690892,10641,658472,396,153,680,1644
2021/09/02,688962,10636,657288,396,143,686,1624
2021/09/01,687271,10629,656138,401,141,714,1617
2021/08/31,685714,10625,655032,393,133,718,1625
2021/08/30,683862,10622,653886,355,124,747,1663
2021/08/29,682581,10620,653076,343,113,755,1668
2021/08/28,681499,10617,652256,315,110,760,1691
2021/08/27,680154,10610,651310,316,105,755,1701
2021/08/26,678781,10604,650384,315,94,741,1704
2021/08/25,677378,10602,649570,332,88,738,1691
2021/08/24,675926,10598,648805,317,86,738,1705
2021/08/23,674309,10596,647916,306,74,766,1705
2021/08/22,673154,10593,647233,278,73,759,1729
2021/08/21,672171,10591,646575,260,71,752,1741
2021/08/20,671065,10589,645963,246,69,765,1756
2021/08/19,669779,10588,645215,219,68,766,1782
2021/08/18,668467,10586,644615,226,62,768,1776
2021/08/17,667177,10586,644011,214,60,782,1783
2021/08/16,665965,10586,643490,193,64,789,1804
2021/08/15,665090,10586,643043,182,58,779,1806
2021/08/14,664295,10586,642615,167,53,781,1838
2021/08/13,663462,10584,642163,158,49,763,1867
2021/08/12,662512,10582,641712,150,49,771,1846
2021/08/11,661544,10580,641254,146,48,787,1863
2021/08/10,660685,10580,640764,146,46,786,1856
2021/08/09,659811,10579,640272,134,40,798,1867
2021/08/08,659194,10578,639898,119,44,786,1890
2021/08/07,658758,10577,639520,110,41,789,1899
2021/08/06,658195,10576,639110,112,34,795,1888
2021/08/05,657624,10575,638679,95,38,783,1895
2021/08/04,657024,10574,638217,96,31,790,1910
2021/08/03,656527,10572,637811,102,35,788,1889
2021/08/02,655932,10571,637421,99,31,817,1888
2021/08/01,655529,10569,637120,96,30,808,1893
2021/07/31,655183,10568,636799,90,33,773,1904
2021/07/30,654763,10567,636462,81,37,767,1917
2021/07/29,654219,10567,636086,83,40,786,1918
2021/07/28,653688,10566,635801,75,38,789,1920
2021/07/27,653182,10566,635484,80,41,790,1917
2021/07/26,652635,10566,635203,85,32,805,1928
2021/07/25,652270,10565,634946,78,26,803,1916
2021/07/24,651955,10563,634753,80,27,801,1941
2021/07/23,651630,10562,634501,74,26,794,1941
2021/07/22,651288,10561,634270,78,26,798,1934
2021/07/21,650867,10560,634079,81,30,798,1939
2021/07/20,650448,10560,633907,82,40,794,1932
2021/07/19,650085,10560,633740,80,33,824,1937
2021/07/18,649749,10560,633604,77,31,814,1952
2021/07/17,649484,10560,633490,80,35,813,1948
2021/07/16,649148,10560,633384,71,37,790,1953
2021/07/15,648719,10559,633263,77,35,785,1947
2021/07/14,648366,10559,633159,78,32,790,1942
2021/07/13,648065,10558,633061,75,37,802,1944
2021/07/12,647791,10556,632954,67,35,817,1952
2021/07/11,647546,10556,632882,62,37,812,1957
2021/07/10,647362,10556,632793,61,42,787,1963
2021/07/09,647208,10556,632713,67,42,799,1969
2021/07/08,647030,10556,632608,69,42,787,1953
2021/07/07,646831,10556,632489,72,46,782,1953
2021/07/06,646683,10555,632359,78,46,793,1948
2021/07/05,646557,10554,632222,83,45,803,1946
2021/07/04,646454,10554,632098,89,46,784,1946
2021/07/03,646381,10554,632011,97,46,769,1938
2021/07/02,646313,10551,631833,101,49,783,1934
2021/07/01,646209,10548,631704,112,53,770,2043
2021/06/30,646101,10547,631547,112,60,769,1946
2021/06/29,646021,10547,631382,129,56,787,1933
2021/06/28,645915,10546,631204,118,61,804,1948
2021/06/27,645822,10545,631037,122,63,806,1950
2021/06/26,645749,10544,630875,128,73,791,1945
2021/06/25,645683,10542,630709,127,68,792,1945
2021/06/24,645566,10542,630536,146,71,780,1929
2021/06/23,645458,10539,630311,157,70,791,1911
2021/06/22,645359,10535,630134,169,73,784,1919
2021/06/21,645243,10535,629840,164,80,793,1938
2021/06/20,645141,10533,629625,164,84,789,1939
2021/06/19,645026,10532,629407,164,83,770,1943
2021/06/18,644918,10530,629106,175,84,747,1929
2021/06/17,644769,10526,628749,185,86,771,1913
2021/06/16,644638,10524,628360,188,92,812,2203
2021/06/15,644467,10523,628023,205,94,815,2191
2021/06/14,644287,10520,627657,208,98,830,2208
2021/06/13,644140,10518,627254,219,99,827,2195
2021/06/12,644037,10515,626943,217,99,827,2196
2021/06/11,643830,10511,626493,229,97,810,2192
2021/06/10,643632,10508,626070,244,113,793,2173
2021/06/09,643405,10508,625600,248,122,794,2164
2021/06/08,643118,10504,625118,275,127,797,2397
2021/06/07,642762,10500,624506,280,146,799,2397
2021/06/06,642454,10496,624011,284,144,797,2404
2021/06/05,642143,10491,623651,288,150,784,2398
2021/06/04,641817,10487,623101,247,115,825,2450
2021/06/03,641533,10485,622616,245,128,795,2451
2021/06/02,641182,10481,622063,266,136,811,2430
2021/06/01,640877,10475,621445,268,147,824,2446
2021/05/31,640388,10468,620595,258,152,822,2441
2021/05/30,640028,10463,619912,264,149,813,2452
2021/05/29,639701,10458,619250,273,163,792,2446
2021/05/28,639316,10453,618430,285,171,768,2467
2021/05/27,638893,10444,617645,318,192,756,2544
2021/05/26,638356,10438,616765,349,198,750,2536
2021/05/25,637749,10429,615922,383,220,759,2512
2021/05/24,637264,10423,614836,368,224,752,2537
2021/05/23,636857,10418,613971,386,237,735,2517
2021/05/22,636507,10409,613086,406,237,733,2486
2021/05/21,635998,10402,611960,463,234,768,2494
2021/05/20,635429,10392,610669,518,249,748,2546
2021/05/19,634768,10386,609239,563,266,713,2442
2021/05/18,634158,10384,607910,600,278,702,2434
2021/05/17,633313,10372,606193,624,290,703,2411
2021/05/16,632674,10364,604763,612,285,712,2439
2021/05/15,632153,10355,603367,628,315,683,2426
2021/05/14,631469,10343,601825,686,322,685,2395
2021/05/13,630833,10337,599936,695,316,679,2378
2021/05/12,629981,10326,598046,797,337,650,2958
2021/05/11,628984,10305,595907,857,358,642,2921
2021/05/10,627826,10299,593702,863,385,636,2927
2021/05/09,626898,10286,591730,865,409,613,3027
2021/05/08,626153,10269,589692,886,406,618,3011
2021/05/07,625091,10260,587645,959,422,590,2949
2021/05/06,623936,10241,585201,1017,431,575,2879
2021/05/05,622551,10225,583000,1107,440,564,2786
2021/05/04,621158,10211,580570,1155,463,571,2748
2021/05/03,619432,10189,577912,1139,485,577,2768
2021/05/02,617985,10173,575740,1087,476,576,2822
2021/05/01,616877,10148,573754,1081,482,567,2827
2021/04/30,615337,10124,571551,1154,506,552,2756
2021/04/29,613670,10109,568830,1233,489,548,2674
2021/04/28,611551,10088,566663,1270,519,522,2648
2021/04/27,609395,10061,564004,1392,521,522,2504
2021/04/26,607123,10041,561581,1333,520,549,2565
2021/04/25,605205,10019,559436,1279,521,538,2623
2021/04/24,603613,10003,557168,1309,508,546,2569
2021/04/23,601715,9980,554720,1356,518,529,2553
2021/04/22,599743,9967,551628,1403,521,517,2490
2021/04/21,597260,9940,548997,1417,551,497,2475
2021/04/20,594642,9921,546089,1531,561,505,2400
2021/04/19,592112,9878,543387,1554,568,506,2369
2021/04/18,590020,9856,540959,1475,546,531,2432
2021/04/17,588005,9833,538338,1507,549,508,2397
2021/04/16,585972,9802,535709,1550,560,495,2399
2021/04/15,583606,9774,532673,1586,571,479,2355
2021/04/14,581251,9747,529916,1687,589,465,2258
2021/04/13,578514,9713,526889,1752,596,462,2195
2021/04/12,575333,9683,523752,1799,615,457,2146
2021/04/11,573090,9655,520693,1705,599,471,2257
2021/04/10,571031,9629,517952,1734,584,489,2210
2021/04/09,569066,9602,514939,1802,582,486,2180
2021/04/08,565607,9567,511623,1807,579,473,2177
2021/04/07,563093,9535,508300,1877,583,487,2110
2021/04/06,560220,9499,505109,1854,583,487,2132
2021/04/05,557370,9477,501551,1771,570,489,2183
2021/04/04,555361,9449,498358,1671,562,499,2282
2021/04/03,553030,9410,495614,1655,533,531,2290
2021/04/02,550211,9384,492709,1753,537,515,2237
2021/04/01,546904,9350,489660,1765,534,523,2228
2021/03/31,543811,9320,486658,1787,531,519,2202
2021/03/30,540417,9292,483898,1770,538,492,2216
2021/03/29,537281,9264,481392,1710,537,486,2264
2021/03/28,534484,9233,478571,1636,518,508,2327
2021/03/27,531250,9205,476129,1651,508,457,3829
2021/03/26,528603,9182,473351,1693,471,457,3464
2021/03/25,525300,9157,470751,1641,455,468,3405
2021/03/24,522085,9127,468348,1635,450,481,3495
2021/03/23,518638,9104,466034,1614,438,488,3605
2021/03/22,515096,9086,463680,1573,436,493,3774
2021/03/21,512075,9056,461508,1495,416,516,3888
2021/03/20,509636,9029,459821,1438,393,504,3840
2021/03/19,506946,9009,457553,1462,400,483,3608
2021/03/18,503296,8979,454783,1451,388,508,3647
2021/03/17,500074,8954,452760,1449,396,519,3674
2021/03/16,496553,8922,450676,1438,395,492,3681
2021/03/15,493682,8899,448603,1406,373,520,3898
2021/03/14,490923,8874,446577,1322,352,550,4021
2021/03/13,489015,8849,444786,1285,356,500,3939
2021/03/12,486490,8822,442778,1269,346,508,3730
2021/03/11,483457,8797,440642,1242,342,515,3846
2021/03/10,480402,8772,438983,1273,324,522,3791
2021/03/09,477531,8753,437193,1287,329,535,3875
2021/03/08,475118,8732,435308,1226,333,547,4097
2021/03/07,472596,8714,433490,1155,317,565,4230
2021/03/06,470649,8696,431857,1138,316,546,4283
2021/03/05,468403,8670,430134,1114,325,520,3960
2021/03/04,465639,8652,428112,1142,302,540,4042
2021/03/03,463287,8636,426338,1097,313,540,4078
2021/03/02,460887,8615,424728,1124,301,544,4125
2021/03/01,458435,8597,423189,1073,296,563,4345
2021/02/28,456243,8582,421600,1022,283,583,4317
2021/02/27,454842,8560,420263,988,260,573,4226
2021/02/26,452616,8537,418726,1018,260,571,3975
2021/02/25,450120,8518,417219,1041,248,578,3937
2021/02/24,448231,8499,415985,1064,255,569,3963
2021/02/23,445786,8481,414732,1077,273,583,4071
2021/02/22,443818,8460,413457,1085,252,604,4306
